N,P,K,pH,Rainfall(mm),Temperature(°C),Humidity(%),SoilType,Region,Season,Crop,SoilOrganicCarbon(%),Altitude(m),IrrigationAvailability,WindSpeed(km/h),SoilMoisture(%),WaterTableDepth(m),HistoricalYield(t/ha)
35,128,179,6.95,145.7,27.8,83.5,Peaty,Bihar,Kharif,Sugarcane,1.97,1287.0,No,15.0,46.2,20.4,2.51
107,39,169,4.64,157.1,38.9,57.0,Sandy,Punjab,Rabi,Wheat,0.33,228.0,Yes,27.8,19.2,5.0,4.96
30,39,155,8.09,58.2,25.3,50.3,Loamy,Maharashtra,Zaid,Barley,2.62,2890.0,No,2.5,10.7,25.2,8.13
104,93,42,6.5,63.6,23.5,76.6,Sandy,Andhra Pradesh,Kharif,Rice,2.01,283.0,Yes,9.8,18.0,26.8,2.0
75,142,102,4.34,155.5,25.9,66.3,Silty,West Bengal,Kharif,Barley,2.55,48.0,No,22.5,42.6,15.1,8.01
80,75,95,6.33,220.1,24.5,77.5,Peaty,Bihar,Rabi,Barley,0.68,632.0,Yes,6.4,10.4,9.1,9.71
51,135,7,4.57,89.5,32.1,54.7,Peaty,Punjab,Kharif,Maize,1.45,2877.0,Yes,22.5,45.2,5.5,8.52
69,77,159,5.42,101.0,36.9,41.0,Peaty,Maharashtra,Kharif,Jowar,2.79,2033.0,No,18.0,34.7,7.0,3.14
10,47,179,4.9,198.8,35.7,82.8,Peaty,Maharashtra,Kharif,Barley,1.36,1344.0,Yes,9.7,7.4,20.5,7.07
7,137,60,4.02,60.9,33.2,87.2,Peaty,Tamil Nadu,Kharif,Barley,0.95,2157.0,Yes,18.8,17.8,18.2,4.55
7,86,26,5.92,190.1,24.6,42.0,Chalky,Maharashtra,Kharif,Barley,0.67,2327.0,Yes,16.1,28.5,13.0,8.55
106,7,185,4.71,261.9,28.4,78.1,Clay,West Bengal,Kharif,Maize,2.52,1841.0,No,16.8,22.7,9.6,4.95
71,81,26,6.57,282.7,37.9,71.0,Clay,Andhra Pradesh,Rabi,Cotton,0.21,2468.0,Yes,3.0,15.9,25.0,3.85
102,16,88,5.06,276.8,32.1,79.6,Loamy,West Bengal,Zaid,Rice,3.0,2026.0,No,18.7,14.0,3.9,7.56
96,30,182,7.32,193.4,29.3,48.7,Loamy,Punjab,Rabi,Pulses,2.77,1212.0,Yes,6.3,26.2,20.4,4.78
108,60,30,6.31,83.3,39.0,87.6,Chalky,Andhra Pradesh,Kharif,Bajra,2.77,822.0,No,4.7,38.1,2.7,5.63
76,18,22,5.42,100.1,23.3,59.4,Sandy,Tamil Nadu,Rabi,Cotton,2.77,1155.0,No,20.0,21.9,16.0,4.76
124,131,144,4.02,170.1,28.2,83.1,Peaty,Bihar,Rabi,Rice,1.88,1631.0,No,4.4,14.7,3.8,4.13
116,100,132,5.87,187.4,34.2,58.9,Sandy,Maharashtra,Rabi,Rice,2.85,565.0,No,3.1,48.9,20.4,4.34
99,60,111,4.79,174.0,23.5,50.3,Sandy,Tamil Nadu,Kharif,Bajra,1.96,2482.0,No,16.4,12.9,15.8,3.86
11,144,166,4.7,213.9,23.2,58.1,Peaty,Tamil Nadu,Rabi,Jowar,2.44,1367.0,No,19.2,16.2,7.0,5.16
17,25,187,7.43,294.7,21.4,41.5,Chalky,Bihar,Rabi,Cotton,2.14,2702.0,No,26.9,41.8,16.2,6.9
76,19,192,6.32,193.4,23.7,81.2,Peaty,Gujarat,Rabi,Pulses,0.76,2190.0,Yes,26.4,48.6,26.5,8.53
78,112,160,7.89,109.7,29.2,66.3,Clay,Gujarat,Zaid,Maize,1.39,650.0,No,8.2,41.0,25.9,9.32
96,17,50,7.99,111.5,33.1,45.1,Chalky,Punjab,Rabi,Wheat,2.69,1282.0,Yes,13.6,18.3,19.4,9.07
79,76,102,7.34,75.0,36.3,72.0,Loamy,Punjab,Zaid,Maize,0.64,711.0,No,12.9,27.3,2.3,5.94
66,15,56,6.63,103.1,26.9,89.1,Chalky,Bihar,Kharif,Maize,0.21,2223.0,Yes,5.4,14.6,19.0,5.59
64,76,44,5.83,81.6,28.5,56.4,Loamy,Andhra Pradesh,Kharif,Bajra,0.85,1388.0,No,19.5,24.8,7.3,6.53
67,25,84,4.4,284.5,28.4,48.6,Loamy,Gujarat,Zaid,Barley,1.0,2070.0,No,5.1,39.8,2.4,3.3
89,10,95,5.07,191.0,27.6,66.1,Peaty,Gujarat,Rabi,Maize,1.17,899.0,Yes,14.6,44.9,3.9,2.77
31,113,61,5.17,130.5,33.1,77.3,Loamy,Bihar,Rabi,Sugarcane,1.35,1877.0,No,16.1,16.1,28.8,1.46
99,125,26,8.39,85.0,23.2,86.3,Clay,Tamil Nadu,Kharif,Barley,1.05,203.0,Yes,10.4,39.4,7.1,2.67
125,41,17,7.81,78.9,25.9,78.9,Silty,West Bengal,Zaid,Bajra,1.88,213.0,No,29.8,23.0,16.9,9.79
112,137,19,4.95,170.4,39.4,87.4,Silty,Punjab,Zaid,Bajra,1.92,799.0,Yes,20.5,21.0,18.0,8.46
63,77,50,5.41,228.2,26.9,62.0,Loamy,Punjab,Zaid,Pulses,2.2,2368.0,No,3.3,10.1,19.1,6.01
25,87,111,5.24,117.2,31.6,62.8,Silty,Andhra Pradesh,Kharif,Bajra,1.59,595.0,No,21.0,48.6,16.6,7.86
38,134,38,6.87,237.7,38.6,59.8,Peaty,Andhra Pradesh,Zaid,Wheat,1.32,2761.0,Yes,14.6,49.2,29.8,8.29
89,67,21,4.89,183.2,22.2,89.7,Peaty,Maharashtra,Zaid,Pulses,0.21,1091.0,Yes,26.0,6.2,28.8,6.46
63,21,191,5.11,207.9,26.7,75.3,Loamy,Tamil Nadu,Rabi,Cotton,2.55,2249.0,Yes,8.4,34.9,27.4,6.22
55,143,184,5.31,92.8,36.9,86.0,Sandy,Andhra Pradesh,Rabi,Cotton,0.37,2122.0,No,10.5,27.4,23.0,1.46
10,106,45,4.97,241.8,29.3,57.5,Chalky,West Bengal,Kharif,Bajra,2.98,2500.0,Yes,16.0,45.5,16.2,1.29
123,23,14,5.54,265.7,29.9,86.0,Peaty,Tamil Nadu,Kharif,Jowar,0.31,1023.0,No,22.6,41.6,24.4,8.38
57,126,60,4.87,231.7,23.2,87.4,Chalky,Bihar,Kharif,Bajra,2.21,316.0,Yes,29.5,18.1,8.1,3.12
62,31,130,7.05,105.9,20.5,59.5,Silty,Tamil Nadu,Rabi,Barley,1.57,1534.0,No,2.3,5.8,7.6,4.36
53,7,39,6.86,226.3,31.4,86.8,Sandy,Gujarat,Rabi,Barley,2.63,1080.0,Yes,2.6,8.2,22.4,2.08
97,140,88,8.07,284.4,20.1,73.4,Chalky,Punjab,Kharif,Sugarcane,1.84,1142.0,Yes,6.0,42.9,27.9,5.99
15,37,26,6.76,245.3,39.9,89.2,Peaty,West Bengal,Rabi,Barley,1.45,614.0,Yes,18.9,14.8,12.3,9.54
123,75,31,5.11,118.0,34.9,62.9,Clay,Gujarat,Rabi,Rice,1.59,2017.0,No,26.1,26.3,8.9,6.53
102,123,62,6.95,98.2,30.9,81.4,Clay,West Bengal,Kharif,Sugarcane,2.34,168.0,Yes,2.0,22.7,19.8,8.29
88,25,41,6.99,122.1,27.3,78.9,Clay,Maharashtra,Zaid,Maize,1.03,366.0,Yes,5.4,12.5,1.9,4.97
7,138,47,4.66,193.3,21.6,47.9,Silty,Bihar,Kharif,Sugarcane,0.73,1696.0,No,3.1,35.2,3.6,1.77
120,130,82,6.5,93.2,29.9,87.9,Clay,Andhra Pradesh,Zaid,Cotton,1.97,2418.0,No,14.8,20.6,1.5,8.46
113,112,73,5.44,191.7,25.6,63.7,Clay,West Bengal,Kharif,Rice,1.73,2797.0,Yes,28.8,44.7,1.5,7.2
19,56,13,5.35,70.6,27.3,88.0,Silty,Punjab,Zaid,Rice,2.16,133.0,Yes,17.3,36.6,2.2,1.86
125,124,23,4.71,101.1,29.5,42.1,Chalky,Maharashtra,Zaid,Cotton,1.26,2130.0,No,6.0,25.8,18.3,4.16
0,139,11,4.2,89.4,20.9,64.1,Clay,Andhra Pradesh,Kharif,Sugarcane,2.11,2783.0,Yes,17.8,40.3,13.1,9.92
36,9,99,5.61,120.8,39.8,61.0,Sandy,Gujarat,Rabi,Wheat,0.74,2607.0,No,25.6,35.3,14.5,5.78
22,74,85,6.53,132.9,29.2,84.1,Peaty,Maharashtra,Rabi,Jowar,2.68,2616.0,Yes,28.6,43.5,27.4,3.57
127,33,45,7.18,73.6,36.4,78.4,Chalky,Tamil Nadu,Zaid,Pulses,0.85,1364.0,No,14.1,21.7,3.3,4.86
99,89,52,4.66,136.0,23.3,59.3,Chalky,Maharashtra,Kharif,Jowar,2.1,1043.0,No,9.0,46.8,14.1,4.17
13,51,88,8.36,78.7,32.2,80.7,Peaty,Bihar,Zaid,Jowar,0.4,756.0,No,6.0,22.3,21.9,6.67
129,109,68,4.79,58.0,24.7,74.2,Sandy,Gujarat,Zaid,Wheat,1.94,508.0,No,26.3,16.9,23.0,4.54
54,128,123,6.05,59.3,25.5,68.9,Clay,Tamil Nadu,Rabi,Bajra,1.81,441.0,No,7.8,36.4,8.3,5.04
117,88,169,7.84,128.6,33.1,55.2,Sandy,Andhra Pradesh,Zaid,Maize,2.66,493.0,Yes,14.0,44.7,6.8,4.65
84,118,82,4.14,225.3,30.0,42.0,Loamy,West Bengal,Rabi,Cotton,1.78,893.0,Yes,18.5,19.4,19.8,5.42
123,62,184,5.56,66.1,37.4,70.5,Chalky,Tamil Nadu,Rabi,Barley,2.52,1652.0,No,7.9,42.0,4.4,8.9
139,71,61,6.3,216.4,25.8,85.1,Chalky,Gujarat,Rabi,Maize,1.63,1443.0,No,24.4,43.4,4.0,5.88
84,37,9,6.48,99.8,30.4,79.5,Sandy,Punjab,Zaid,Bajra,2.66,2600.0,Yes,9.5,23.6,28.4,9.23
25,68,185,4.97,289.7,20.0,84.3,Peaty,Bihar,Kharif,Bajra,1.97,2450.0,No,25.9,29.1,5.9,2.51
87,89,11,5.47,161.1,33.0,62.8,Loamy,Tamil Nadu,Rabi,Pulses,0.95,1332.0,Yes,1.8,45.5,4.2,2.16
51,130,76,5.37,253.8,31.2,73.0,Clay,Bihar,Zaid,Pulses,2.28,2073.0,Yes,18.8,49.8,16.4,1.19
38,8,110,6.72,150.9,29.1,58.4,Chalky,West Bengal,Rabi,Rice,2.56,563.0,No,8.2,8.9,4.4,5.0
6,62,84,8.1,136.5,20.6,57.3,Chalky,West Bengal,Kharif,Maize,2.37,1886.0,No,26.2,49.2,16.7,9.3
71,39,28,6.94,248.9,34.5,78.5,Sandy,West Bengal,Zaid,Maize,2.07,1967.0,Yes,8.4,16.6,10.1,1.78
89,22,85,5.24,248.7,39.5,49.1,Chalky,Andhra Pradesh,Rabi,Maize,1.66,1125.0,No,11.4,42.6,27.3,1.05
88,7,162,4.21,236.4,30.2,48.0,Loamy,Bihar,Kharif,Wheat,0.4,354.0,Yes,13.2,41.5,21.1,6.47
126,141,168,7.81,281.0,27.6,72.6,Peaty,Tamil Nadu,Rabi,Cotton,1.33,2290.0,Yes,9.6,32.4,22.0,5.45
122,125,97,8.41,59.0,32.6,70.8,Clay,Gujarat,Zaid,Jowar,1.3,1442.0,No,24.6,30.9,3.9,8.44
18,142,168,6.74,79.0,27.1,79.9,Sandy,Punjab,Rabi,Wheat,0.33,2407.0,No,0.2,32.0,27.2,9.98
89,142,192,7.77,54.9,24.8,69.5,Sandy,West Bengal,Kharif,Jowar,0.26,1859.0,No,18.8,22.1,20.3,6.29
27,69,79,6.87,66.1,34.3,80.5,Sandy,Maharashtra,Zaid,Cotton,2.39,2613.0,Yes,6.3,15.4,27.7,7.56
70,105,88,6.16,181.2,37.2,41.4,Loamy,Tamil Nadu,Kharif,Cotton,2.86,1453.0,No,28.4,25.5,26.4,1.79
48,137,5,7.93,78.8,21.5,88.0,Clay,Tamil Nadu,Zaid,Maize,2.35,2249.0,Yes,13.5,43.8,2.4,5.4
130,74,99,5.16,281.4,20.5,57.2,Peaty,Andhra Pradesh,Zaid,Pulses,0.28,507.0,No,18.0,36.1,21.4,7.29
132,132,13,5.07,130.4,33.7,89.5,Loamy,Tamil Nadu,Rabi,Wheat,0.7,917.0,Yes,27.0,24.2,25.9,1.51
113,10,86,5.05,118.4,24.8,62.7,Peaty,Gujarat,Rabi,Rice,0.97,491.0,No,20.2,20.3,23.9,3.09
85,14,129,8.02,123.4,31.2,44.1,Clay,Andhra Pradesh,Zaid,Maize,1.56,156.0,Yes,12.4,36.4,27.7,9.93
40,22,185,8.03,164.5,24.6,64.1,Peaty,Andhra Pradesh,Kharif,Bajra,0.79,500.0,No,22.9,36.1,10.5,9.76
4,101,179,6.06,93.2,37.5,77.8,Loamy,West Bengal,Kharif,Wheat,2.29,34.0,No,11.9,28.6,23.2,7.98
109,109,159,6.71,231.3,35.1,48.7,Peaty,Andhra Pradesh,Kharif,Jowar,1.85,2607.0,No,17.8,28.6,2.8,1.94
74,47,58,7.89,58.6,24.1,44.1,Peaty,Tamil Nadu,Rabi,Barley,2.62,1562.0,No,26.6,36.2,17.6,9.19
129,26,160,5.25,196.1,37.3,45.1,Chalky,Maharashtra,Rabi,Barley,2.73,432.0,No,9.2,36.0,7.9,3.19
49,9,36,7.3,85.3,26.5,68.2,Silty,Punjab,Zaid,Maize,2.41,2379.0,No,17.8,30.5,22.2,9.46
9,119,134,7.01,248.8,35.1,61.8,Peaty,Andhra Pradesh,Zaid,Rice,0.82,2498.0,Yes,17.3,25.3,27.5,9.27
48,75,5,5.05,155.4,32.4,49.7,Chalky,Andhra Pradesh,Zaid,Barley,1.91,2722.0,Yes,5.2,9.1,19.7,9.03
6,121,182,6.66,292.4,24.1,86.6,Clay,Punjab,Rabi,Sugarcane,2.13,2805.0,No,29.1,42.7,7.2,9.13
90,24,15,8.03,192.2,36.8,73.6,Sandy,West Bengal,Kharif,Bajra,0.97,1350.0,Yes,18.5,18.1,15.0,5.96
42,89,183,5.05,107.6,35.9,83.3,Sandy,West Bengal,Zaid,Pulses,1.16,203.0,Yes,18.8,30.8,21.6,3.2
41,31,203,4.23,150.5,28.4,41.1,Silty,Andhra Pradesh,Rabi,Cotton,0.9,2250.0,Yes,17.8,25.9,6.6,7.6
102,15,96,7.95,101.4,34.6,43.6,Peaty,Gujarat,Kharif,Pulses,2.98,2510.0,Yes,3.6,37.8,26.9,7.76
5,44,189,7.23,287.7,35.1,57.3,Peaty,Andhra Pradesh,Kharif,Jowar,1.6,1801.0,Yes,21.4,49.4,11.7,2.63
102,111,84,4.96,141.3,22.1,52.0,Loamy,Tamil Nadu,Kharif,Barley,0.7,1343.0,No,2.5,11.4,24.3,6.41
29,74,62,5.4,152.2,27.9,72.6,Peaty,Gujarat,Zaid,Barley,0.76,2347.0,Yes,19.9,25.0,21.3,9.9
122,113,191,8.35,291.3,28.7,73.2,Chalky,Punjab,Kharif,Bajra,0.49,2780.0,No,21.9,31.8,27.4,6.53
100,81,167,7.39,57.7,26.2,78.5,Loamy,Punjab,Rabi,Bajra,1.97,1852.0,Yes,1.1,29.8,28.8,8.6
113,62,15,5.95,188.5,25.3,45.4,Peaty,Maharashtra,Rabi,Cotton,1.81,698.0,Yes,29.6,48.4,19.1,1.33
137,126,126,7.71,222.6,25.3,47.6,Chalky,Andhra Pradesh,Zaid,Cotton,0.57,2134.0,No,22.7,17.8,11.3,1.0
13,101,175,6.46,258.7,34.3,52.9,Loamy,Bihar,Kharif,Maize,2.67,2743.0,No,4.6,12.9,10.7,5.11
52,125,25,5.84,118.5,38.1,69.3,Sandy,Andhra Pradesh,Kharif,Wheat,1.38,1328.0,Yes,6.3,22.7,9.2,3.48
131,5,106,4.66,235.0,34.6,64.2,Clay,Gujarat,Zaid,Cotton,2.74,1565.0,Yes,4.3,42.3,12.8,1.62
125,88,68,6.64,291.4,37.8,68.7,Peaty,West Bengal,Kharif,Cotton,1.16,557.0,No,2.8,29.7,23.2,2.89
24,57,134,4.65,76.1,34.5,87.0,Peaty,Maharashtra,Zaid,Bajra,1.32,1263.0,Yes,6.7,20.1,12.3,1.22
131,8,59,7.63,93.4,30.5,55.4,Clay,West Bengal,Kharif,Sugarcane,1.66,304.0,No,10.0,37.4,17.1,7.18
54,82,129,7.99,276.5,35.9,49.5,Clay,Gujarat,Rabi,Barley,1.23,2167.0,No,5.7,16.5,24.1,3.18
61,49,121,7.34,226.7,38.9,88.2,Clay,Gujarat,Rabi,Bajra,2.76,910.0,No,8.2,18.8,17.2,10.0
116,108,82,5.74,104.6,26.2,46.4,Clay,Tamil Nadu,Kharif,Bajra,1.73,2725.0,Yes,6.8,33.6,18.6,6.56
10,73,183,5.66,55.9,34.0,60.2,Loamy,Maharashtra,Zaid,Sugarcane,0.25,1517.0,No,25.8,27.2,18.1,4.09
12,26,64,6.46,132.9,26.0,83.4,Peaty,Tamil Nadu,Zaid,Rice,0.44,425.0,Yes,14.7,10.0,29.5,8.37
92,33,57,7.25,287.8,26.3,65.7,Clay,West Bengal,Zaid,Barley,0.47,875.0,No,6.3,41.6,21.6,9.37
87,90,161,7.26,97.9,26.3,65.0,Loamy,Tamil Nadu,Kharif,Bajra,0.63,326.0,Yes,27.6,35.5,16.6,3.01
19,95,18,4.99,248.1,29.4,73.8,Chalky,Punjab,Rabi,Pulses,0.98,630.0,Yes,20.7,8.8,2.9,8.04
86,126,77,4.19,91.5,24.6,73.0,Clay,Bihar,Rabi,Bajra,2.85,859.0,No,8.7,34.1,17.5,3.34
55,62,112,4.55,157.0,32.3,59.4,Sandy,Andhra Pradesh,Kharif,Cotton,1.44,2624.0,No,16.7,23.0,7.4,3.8
13,23,119,6.94,200.4,31.8,51.3,Chalky,Andhra Pradesh,Rabi,Maize,2.48,1907.0,Yes,2.3,10.5,4.4,1.51
97,23,48,8.2,229.7,29.3,45.4,Silty,Tamil Nadu,Zaid,Barley,2.2,2985.0,Yes,25.9,11.5,26.7,4.62
107,20,204,6.09,155.9,37.4,76.7,Clay,Gujarat,Zaid,Cotton,1.36,1930.0,No,9.8,12.5,24.1,2.4
101,98,134,5.17,227.8,27.7,63.1,Loamy,Punjab,Kharif,Barley,2.36,1703.0,No,3.4,6.5,1.9,1.06
51,127,95,4.07,239.7,39.0,55.5,Chalky,Tamil Nadu,Kharif,Pulses,2.99,2789.0,Yes,6.1,27.7,19.1,1.88
108,112,47,5.91,57.3,23.5,88.7,Peaty,Tamil Nadu,Kharif,Bajra,2.05,727.0,No,26.2,32.1,4.1,4.38
5,82,104,7.25,220.7,23.5,65.6,Chalky,Maharashtra,Rabi,Barley,2.11,1608.0,No,10.3,44.9,16.6,6.51
104,31,86,6.84,84.1,23.4,47.9,Silty,Bihar,Rabi,Pulses,0.53,615.0,No,15.5,34.0,29.1,8.7
9,117,116,5.63,296.4,21.1,71.2,Silty,Tamil Nadu,Rabi,Bajra,1.63,2448.0,No,28.3,31.2,5.4,9.64
4,50,76,6.62,206.5,33.7,41.6,Sandy,Tamil Nadu,Kharif,Wheat,2.57,2868.0,Yes,17.6,30.8,7.8,2.48
13,142,123,7.93,233.3,32.1,60.8,Silty,Gujarat,Kharif,Barley,1.69,941.0,Yes,6.9,44.7,17.0,5.78
139,73,171,4.1,294.0,39.6,89.8,Sandy,Gujarat,Zaid,Wheat,2.86,191.0,Yes,28.7,22.3,28.0,3.68
52,41,34,7.62,70.1,31.7,81.2,Clay,Maharashtra,Rabi,Sugarcane,1.43,2111.0,Yes,2.9,9.8,15.3,7.82
21,10,108,4.82,282.5,33.7,45.1,Silty,Maharashtra,Kharif,Wheat,0.29,1347.0,Yes,12.3,16.6,16.4,9.71
40,68,20,4.44,289.5,22.5,59.6,Peaty,Punjab,Zaid,Maize,2.17,1433.0,No,1.4,33.3,25.6,8.09
84,141,40,7.2,138.3,30.0,80.2,Loamy,West Bengal,Rabi,Sugarcane,2.29,1480.0,Yes,20.2,23.9,9.3,9.38
103,105,178,5.67,138.7,28.5,72.8,Sandy,Maharashtra,Kharif,Barley,2.27,1561.0,Yes,28.7,21.0,28.8,7.93
60,7,157,6.46,108.7,21.8,78.7,Chalky,Gujarat,Zaid,Cotton,0.97,1911.0,Yes,6.2,46.8,24.6,5.21
6,26,125,4.52,160.7,30.4,50.9,Loamy,Tamil Nadu,Zaid,Jowar,0.61,15.0,No,2.3,44.3,25.4,1.56
34,113,51,6.45,51.7,30.0,74.4,Chalky,West Bengal,Rabi,Barley,2.91,2214.0,No,3.5,48.5,18.0,5.35
18,41,45,7.06,213.1,30.5,50.0,Clay,Punjab,Zaid,Pulses,1.95,1232.0,Yes,15.3,18.4,28.7,1.03
72,6,105,7.25,270.0,37.3,55.8,Clay,Gujarat,Zaid,Cotton,2.3,2127.0,Yes,25.9,6.9,23.3,5.31
120,91,192,7.57,84.7,32.1,41.2,Silty,West Bengal,Zaid,Jowar,1.45,2155.0,No,4.8,18.9,14.2,3.68
118,50,146,5.81,197.0,21.9,75.6,Clay,Andhra Pradesh,Rabi,Jowar,2.85,2221.0,No,3.5,25.5,26.2,6.59
103,124,26,7.1,186.0,21.4,72.4,Silty,West Bengal,Kharif,Jowar,0.26,1469.0,Yes,1.3,36.1,18.6,4.49
29,110,7,6.16,278.6,32.6,66.4,Peaty,West Bengal,Kharif,Maize,2.02,2539.0,Yes,6.7,13.4,9.6,3.55
4,76,104,6.17,69.0,34.4,74.3,Loamy,Bihar,Zaid,Rice,0.89,2313.0,Yes,17.4,33.0,18.0,3.48
136,60,192,4.14,83.4,34.9,59.1,Loamy,West Bengal,Rabi,Rice,1.51,1809.0,Yes,12.9,11.8,13.0,5.31
112,119,86,6.45,208.2,36.2,81.5,Sandy,Punjab,Rabi,Rice,0.2,1229.0,Yes,4.7,22.7,2.7,7.36
97,38,102,7.5,182.7,38.5,58.4,Clay,Gujarat,Zaid,Bajra,1.94,250.0,Yes,10.5,43.3,18.9,8.91
31,57,144,4.71,199.9,34.3,59.8,Clay,Bihar,Zaid,Wheat,0.58,2645.0,Yes,5.6,37.1,17.8,5.76
121,65,112,6.73,152.1,36.4,51.5,Peaty,Tamil Nadu,Kharif,Cotton,1.09,146.0,No,27.0,24.9,27.6,6.33
103,115,43,5.6,258.8,25.6,85.4,Chalky,Tamil Nadu,Zaid,Rice,2.82,1241.0,Yes,11.0,46.0,5.7,6.3
13,12,10,7.63,53.3,23.7,85.4,Silty,Punjab,Rabi,Cotton,1.25,1104.0,No,2.4,32.4,5.5,1.17
106,132,178,4.61,198.0,29.7,48.6,Sandy,Gujarat,Rabi,Bajra,1.27,2956.0,Yes,5.9,39.6,16.9,4.99
109,43,167,7.47,248.0,23.8,43.8,Silty,Bihar,Kharif,Rice,2.3,2577.0,Yes,11.5,44.6,3.3,6.7
94,75,131,8.3,130.7,25.4,50.1,Chalky,Punjab,Kharif,Barley,0.6,2080.0,Yes,1.6,12.1,13.4,3.81
120,80,117,7.89,269.3,27.8,85.8,Sandy,Bihar,Zaid,Sugarcane,2.73,2782.0,No,29.4,19.7,15.2,6.12
87,106,146,6.85,298.7,31.6,58.9,Loamy,West Bengal,Rabi,Rice,1.41,2391.0,Yes,4.2,40.0,2.5,3.29
92,49,163,5.62,123.5,37.6,88.3,Chalky,West Bengal,Kharif,Barley,1.09,97.0,No,10.3,44.9,12.8,1.56
93,17,186,6.55,118.6,35.0,52.2,Sandy,Gujarat,Rabi,Cotton,1.4,1941.0,No,3.4,23.8,26.5,3.99
110,13,78,7.89,227.0,38.4,71.0,Chalky,Punjab,Zaid,Wheat,0.84,1684.0,No,22.9,14.4,8.7,5.97
29,73,186,4.02,141.1,31.0,53.6,Chalky,West Bengal,Kharif,Maize,0.47,480.0,No,18.5,39.5,15.8,6.75
134,75,75,6.75,213.9,34.4,59.3,Silty,Bihar,Kharif,Rice,0.77,228.0,No,5.5,7.0,20.7,1.2
47,48,180,7.79,126.2,29.8,75.5,Silty,West Bengal,Kharif,Barley,2.29,951.0,Yes,18.4,45.9,12.7,1.54
116,124,12,8.23,231.7,23.9,42.3,Chalky,Tamil Nadu,Rabi,Wheat,2.87,198.0,No,15.9,29.7,17.8,3.7
130,85,183,4.61,295.9,23.8,76.7,Chalky,Maharashtra,Rabi,Bajra,0.2,590.0,Yes,7.9,47.1,17.4,9.2
88,95,42,7.83,129.4,32.8,74.3,Silty,West Bengal,Kharif,Maize,0.54,828.0,No,25.8,16.4,22.0,3.55
96,95,22,7.32,295.3,32.8,78.2,Silty,Gujarat,Rabi,Wheat,0.45,1236.0,No,20.6,36.0,13.5,1.37
130,143,12,4.12,90.1,32.2,67.7,Peaty,Tamil Nadu,Kharif,Cotton,0.53,16.0,Yes,0.1,32.1,12.2,2.31
83,104,153,7.99,95.3,29.5,85.5,Chalky,Punjab,Rabi,Wheat,2.96,532.0,Yes,27.2,35.8,3.9,2.5
37,115,193,8.08,252.8,31.7,71.5,Sandy,Andhra Pradesh,Zaid,Cotton,1.92,1090.0,Yes,16.6,47.0,7.6,2.49
31,106,136,7.7,126.1,37.6,52.8,Sandy,Gujarat,Kharif,Rice,0.73,2012.0,No,17.9,38.9,28.4,2.96
81,124,119,6.78,268.7,26.9,47.4,Sandy,Gujarat,Rabi,Barley,1.63,20.0,No,4.1,32.7,15.5,6.39
124,30,129,6.86,290.1,23.4,69.5,Loamy,Tamil Nadu,Kharif,Wheat,1.86,1708.0,No,14.1,20.0,16.1,8.74
23,51,155,7.55,209.8,35.5,88.4,Sandy,West Bengal,Zaid,Bajra,2.34,2110.0,No,7.9,8.9,22.7,1.28
75,99,107,7.47,131.5,34.4,57.7,Clay,Andhra Pradesh,Kharif,Rice,1.61,2032.0,Yes,2.5,40.4,17.2,2.68
45,115,191,8.3,227.3,32.2,83.2,Peaty,Andhra Pradesh,Rabi,Bajra,2.49,1226.0,No,4.9,7.6,18.8,3.1
29,43,103,5.19,217.1,20.5,64.8,Chalky,Andhra Pradesh,Rabi,Sugarcane,1.63,2332.0,No,18.5,16.9,12.5,2.02
38,106,78,7.25,258.5,28.9,46.1,Chalky,West Bengal,Kharif,Jowar,2.68,2084.0,Yes,10.8,43.6,6.8,8.76
41,105,68,5.95,169.1,21.8,88.5,Loamy,Punjab,Kharif,Maize,1.45,1747.0,No,23.3,10.1,22.2,3.46
132,102,47,8.2,77.3,32.0,79.2,Chalky,West Bengal,Rabi,Barley,0.4,1681.0,Yes,16.4,47.7,12.9,8.19
136,64,91,7.14,280.6,36.2,63.0,Silty,Andhra Pradesh,Kharif,Wheat,2.14,373.0,Yes,20.4,34.4,25.5,7.0
80,114,189,7.61,148.5,28.2,53.3,Peaty,Tamil Nadu,Rabi,Rice,0.3,2251.0,Yes,2.9,33.5,28.5,6.56
46,121,121,8.48,50.1,31.9,65.5,Silty,West Bengal,Zaid,Cotton,1.96,2887.0,No,10.8,18.2,17.7,2.7
76,68,80,5.2,125.6,32.9,49.0,Silty,Punjab,Kharif,Sugarcane,2.86,2046.0,Yes,26.2,18.5,21.4,8.27
79,74,127,7.84,174.9,38.4,68.7,Clay,Tamil Nadu,Zaid,Maize,2.45,56.0,Yes,16.3,30.8,12.1,1.57
129,140,192,8.38,181.1,31.4,51.9,Clay,Punjab,Rabi,Pulses,1.27,2511.0,No,14.0,21.8,19.7,3.22
15,46,29,7.38,157.9,20.9,54.7,Peaty,Maharashtra,Rabi,Bajra,0.25,1456.0,No,23.1,9.3,15.6,9.48
136,36,42,7.05,264.3,25.9,66.4,Clay,Punjab,Zaid,Sugarcane,0.63,846.0,No,19.2,24.0,11.0,5.51
65,78,83,4.03,103.9,36.2,74.3,Chalky,Gujarat,Rabi,Jowar,0.88,135.0,Yes,1.3,23.0,2.7,5.28
76,83,23,4.94,101.3,26.0,81.0,Sandy,West Bengal,Rabi,Jowar,1.49,1547.0,Yes,25.5,43.9,27.6,4.33
